"","donorName","inconclusive","donorTau","totalNumberOfCells","totalNumberOfDeterminedCells","totalNumberOfUndeterminedCells","skewed"
"1","AIDA001",TRUE,0.40410719351048,1588,762,826,FALSE
"2","AIDA002",FALSE,0.144689895816207,2019,1742,277,TRUE
"3","AIDA003",FALSE,0.315198678766592,2290,1991,299,TRUE
"4","AIDA004",FALSE,0.484733916257284,1586,1040,546,FALSE
"5","AIDA005",FALSE,0.431115916728141,2537,1277,1260,FALSE
"6","AIDA006",FALSE,0.479555381793856,2200,1230,970,FALSE
"7","AIDA007",TRUE,0.328179965888534,2270,934,1336,TRUE
"8","AIDA008",FALSE,0.542465066470507,1708,954,754,FALSE
"9","AIDA009",FALSE,0.429373675759328,3701,1403,2298,FALSE
"10","AIDA010",FALSE,0.486364047458988,1436,706,730,FALSE
"11","AIDA011",FALSE,0.239297654487105,2047,1725,322,TRUE
"12","AIDA012",FALSE,0.510486652971565,1667,989,678,FALSE
"13","AIDA013",FALSE,0.397157384038006,1635,917,718,TRUE
"14","AIDA014",FALSE,0.287803773654165,2009,1692,317,TRUE
"15","AIDA015",FALSE,0.431077024087037,817,551,266,FALSE
"16","AIDA016",FALSE,0.216238375529046,2423,2161,262,TRUE
"17","AIDA017",FALSE,0.3894810721223,2315,1550,765,TRUE
"18","AIDA018",FALSE,0.592347146379662,2428,1799,629,FALSE
"19","AIDA019",FALSE,0.550570614099276,1973,988,985,FALSE
"20","AIDA020",TRUE,0.65542844086211,1888,878,1010,TRUE
"21","AIDA021",FALSE,0.499781922412159,2257,1300,957,FALSE
"22","AIDA022",TRUE,0.833432374080664,2106,1742,364,TRUE
"23","AIDA023",FALSE,0.122128461333416,1633,1438,195,TRUE
"24","AIDA024",FALSE,0.488289656284227,2281,1520,761,FALSE
"25","AIDA025",FALSE,0.310578706113129,1747,1470,277,TRUE
"26","AIDA026",FALSE,0.656471741198967,1808,984,824,TRUE
"27","AIDA027",TRUE,0.270210495170897,1657,1355,302,TRUE
"28","AIDA028",TRUE,0.269892313337716,2272,1882,390,TRUE
"29","AIDA029",FALSE,0.540259720760007,2697,1193,1504,FALSE
"30","AIDA030",FALSE,0.621278935814118,1506,820,686,TRUE
"31","AIDA031",TRUE,0.681453072157781,1518,1179,339,TRUE
"32","AIDA032",FALSE,0.362568859406115,1237,766,471,TRUE
"33","AIDA033",FALSE,0.57593658254694,2267,1296,971,FALSE
"34","AIDA034",FALSE,0.608817387963562,2633,1838,795,TRUE
"35","AIDA035",FALSE,0.567349457551251,2376,1349,1027,FALSE
"36","AIDA036",FALSE,0.53457933770164,2688,1858,830,FALSE
"37","AIDA037",TRUE,0.313112647224785,2544,2063,481,TRUE
"38","AIDA038",FALSE,0.12852160774337,2240,1924,316,TRUE
"39","AIDA039",FALSE,0.457768790780768,2200,1218,982,FALSE
"40","AIDA040",FALSE,0.672027979133019,2026,1206,820,TRUE
"41","AIDA041",FALSE,0.697991920768671,1752,1495,257,TRUE
"42","AIDA042",FALSE,0.461853561709579,1862,1016,846,FALSE
"43","AIDA043",FALSE,0.655247588560697,2670,1911,759,TRUE
"44","AIDA044",FALSE,0.40310485388587,2030,1150,880,FALSE
"45","AIDA045",FALSE,0.196420215405815,2014,1868,146,TRUE
"46","AIDA046",TRUE,0.406857531468572,1058,443,615,FALSE
"47","AIDA047",FALSE,0.400385467353795,2093,1207,886,FALSE
"48","AIDA048",FALSE,0.852738715198058,1599,1342,257,TRUE
"49","AIDA049",TRUE,0.387397009999491,1541,786,755,TRUE
"50","AIDA050",FALSE,0.560476900371793,2559,1543,1016,FALSE
"51","AIDA051",FALSE,0.535251302381669,2030,1293,737,FALSE
"52","AIDA052",FALSE,0.54323876376379,1967,1253,714,FALSE
"53","AIDA053",FALSE,0.522434363172495,1815,908,907,FALSE
"54","AIDA054",FALSE,0.245215257436755,2554,2259,295,TRUE
"55","AIDA055",FALSE,0.567979083615834,1856,1136,720,FALSE
"56","AIDA056",TRUE,0.792906889595304,2720,2105,615,TRUE
"57","AIDA057",FALSE,0.380422295866221,1765,974,791,TRUE
"58","AIDA058",FALSE,0.123049181662072,2220,1793,427,TRUE
"59","AIDA059",TRUE,0.328952698906345,2068,1147,921,TRUE
"60","AIDA060",FALSE,0.682017746858442,2315,1938,377,TRUE
"61","AIDA061",FALSE,0.239852675334262,1546,1324,222,TRUE
"62","AIDA062",FALSE,0.820621966862758,2476,2156,320,TRUE
"63","AIDA063",FALSE,0.61936287375662,2157,1177,980,TRUE
"64","AIDA064",FALSE,0.742994084777255,2226,1826,400,TRUE
"65","AIDA065",FALSE,0.47003865182159,2304,1548,756,FALSE
"66","AIDA066",FALSE,0.723686699369967,1924,1671,253,TRUE
"67","AIDA068",FALSE,0.560266044031779,2587,1713,874,FALSE
"68","AIDA069",TRUE,0.428001352933624,1431,695,736,FALSE
"69","AIDA072",FALSE,0.514671757988336,2640,1419,1221,FALSE
"70","AIDA073",FALSE,0.772014046645171,2295,1989,306,TRUE
"71","AIDA075",TRUE,0.302196705830183,1156,919,237,TRUE
"72","AIDA076",FALSE,0.394844489542812,1851,1015,836,TRUE
"73","AIDA077",FALSE,0.68277842075759,1794,1478,316,TRUE
"74","AIDA078",FALSE,0.661480686466925,2648,1936,712,TRUE
"75","AIDA079",FALSE,0.508750512276397,2065,1502,563,FALSE
"76","AIDA080",FALSE,0.493974719840584,2004,966,1038,FALSE
"77","AIDA081",FALSE,0.310607120311565,2193,1873,320,TRUE
"78","AIDA082",FALSE,0.660281182795473,1316,705,611,TRUE
"79","AIDA083",FALSE,0.438619409173386,2176,1242,934,FALSE
"80","AIDA084",FALSE,0.2432253707029,1759,1490,269,TRUE
"81","AIDA085",FALSE,0.533079600150586,2432,1370,1062,FALSE
"82","AIDA086",TRUE,0.379202437725172,1781,886,895,TRUE
"83","AIDA087",FALSE,0.394462498658916,2422,1470,952,TRUE
"84","AIDA088",FALSE,0.622017051295244,1459,915,544,TRUE
"85","AIDA089",FALSE,0.561227046421781,2313,1360,953,FALSE
"86","AIDA091",FALSE,0.363395395258056,1709,1014,695,TRUE
"87","AIDA092",TRUE,0.295595291655526,2333,1962,371,TRUE
"88","AIDA093",FALSE,0.199223311054781,2228,1910,318,TRUE
"89","AIDA094",FALSE,0.34050207554826,1492,802,690,TRUE
"90","AIDA095",FALSE,0.584931334454435,2522,1592,930,FALSE
"91","AIDA096",FALSE,0.163364664531194,2293,1994,299,TRUE
"92","AIDA097",TRUE,0.308426486496419,1698,1364,334,TRUE
"93","AIDA098",FALSE,0.167062242044803,2433,2089,344,TRUE
"94","AIDA099",FALSE,0.772830902890694,1961,1667,294,TRUE
"95","AIDA100",FALSE,0.67189750723333,2463,1681,782,TRUE
"96","AIDA101",FALSE,0.798569370451777,1488,1305,183,TRUE
"97","AIDA102",FALSE,0.635882221002263,1779,1203,576,TRUE
"98","AIDA103",TRUE,0.616458972209721,2078,1082,996,TRUE
"99","AIDA104",FALSE,0.72255336852231,2195,1880,315,TRUE
"100","AIDA105",FALSE,0.685696343683104,2304,1908,396,TRUE
"101","AIDA106",FALSE,0.609945205808573,2120,1370,750,TRUE
"102","AIDA107",TRUE,0.202879469114366,1423,1107,316,TRUE
"103","AIDA108",TRUE,0.783339348060503,622,503,119,TRUE
"104","AIDA109",TRUE,0.337192612592641,2123,682,1441,TRUE
"105","AIDA110",TRUE,0.672123535205682,1760,909,851,TRUE
"106","AIDA111",FALSE,0.623043273980106,1731,1025,706,TRUE
"107","AIDA112",FALSE,0.578850498733552,2326,1304,1022,FALSE
"108","AIDA113",FALSE,0.325607846076348,2338,1237,1101,TRUE
"109","AIDA114",FALSE,0.569702361773138,1607,950,657,FALSE
"110","AIDA115",FALSE,0.475110594267984,2041,1049,992,FALSE
"111","AIDA116",FALSE,0.657704220682991,2613,1887,726,TRUE
"112","AIDA117",FALSE,0.591274515389715,2036,1118,918,FALSE
"113","AIDA118",FALSE,0.245221700594975,1776,1509,267,TRUE
"114","AIDA119",FALSE,0.505316752116083,2031,1163,868,FALSE
"115","AIDA120",TRUE,0.217708298352311,1571,1292,279,TRUE
"116","AIDA121",FALSE,0.329792727658403,2438,1740,698,TRUE
"117","AIDA122",FALSE,0.392931316488695,2474,1385,1089,TRUE
"118","AIDA123",FALSE,0.358294938207472,2300,1588,712,TRUE
"119","AIDA124",TRUE,0.585160568930533,1493,599,894,FALSE
"120","AIDA125",FALSE,0.705724308192537,2147,1741,406,TRUE
"121","AIDA126",TRUE,0.608954850232167,1214,559,655,TRUE
"122","AIDA127",FALSE,0.508851623546184,1353,703,650,FALSE
"123","AIDA128",FALSE,0.407965204750986,1707,884,823,FALSE
"124","AIDA129",FALSE,0.507489642966934,2206,1230,976,FALSE
"125","AIDA130",FALSE,0.302543984212999,1670,1419,251,TRUE
"126","AIDA131",FALSE,0.470146354483091,2659,2020,639,FALSE
"127","AIDA132",TRUE,0.646026429164222,2534,883,1651,TRUE
"128","AIDA133",TRUE,0.582206482235666,2719,1255,1464,FALSE
"129","AIDA134",TRUE,0.664482298696932,1695,671,1024,TRUE
"130","AIDA135",FALSE,0.593688622075597,2127,1062,1065,FALSE
"131","AIDA137",FALSE,0.613362630842796,2150,1136,1014,TRUE
"132","AIDA138",FALSE,0.515471093600625,1936,895,1041,FALSE
"133","AIDA139",TRUE,0.644646005409473,1587,655,932,TRUE
"134","AIDA140",FALSE,0.439862890179078,1907,1093,814,FALSE
"135","AIDA141",FALSE,0.448700223693537,1616,901,715,FALSE
"136","AIDA143",TRUE,0.649842493415475,1789,639,1150,TRUE
"137","AIDA144",FALSE,0.479344736109428,1587,925,662,FALSE
"138","AIDA145",FALSE,0.451978638600004,2427,1626,801,FALSE
"139","AIDA146",FALSE,0.297890986484733,1745,1491,254,TRUE
"140","AIDA147",FALSE,0.421875665487156,2053,1245,808,FALSE
"141","AIDA148",TRUE,0.293038415951863,1631,1259,372,TRUE
"142","AIDA149",TRUE,0.647170626496881,1459,650,809,TRUE
"143","AIDA150",TRUE,0.240964393121614,756,541,215,TRUE
"144","AIDA151",FALSE,0.36106564908964,2003,1069,934,TRUE
"145","AIDA152",FALSE,0.662472971274574,1272,684,588,TRUE
"146","AIDA153",FALSE,0.483748503828106,2087,1297,790,FALSE
"147","AIDA154",TRUE,0.412558583016338,1628,508,1120,FALSE
"148","AIDA155",FALSE,0.650516541466537,2270,1474,796,TRUE
"149","AIDA156",TRUE,0.716533335091345,1775,1447,328,TRUE
"150","AIDA157",FALSE,0.66916315165958,1537,1014,523,TRUE
"151","AIDA158",FALSE,0.276722888274634,2278,1954,324,TRUE
"152","AIDA160",FALSE,0.265235804243205,2392,2027,365,TRUE
"153","AIDA161",FALSE,0.17866850950714,2485,2110,375,TRUE
"154","AIDA162",FALSE,0.606384109479072,2022,1025,997,TRUE
"155","AIDA163",FALSE,0.401232981035651,1646,855,791,FALSE
"156","AIDA164",TRUE,0.734117776127825,2237,1818,419,TRUE
"157","AIDA165",FALSE,0.398385931092584,1192,720,472,TRUE
"158","AIDA166",FALSE,0.268166068812069,2171,1836,335,TRUE
"159","AIDA168",FALSE,0.478060073874487,2257,1568,689,FALSE
"160","AIDA169",FALSE,0.468748179598353,2277,1632,645,FALSE
"161","AIDA170",TRUE,0.361978857774856,1706,919,787,TRUE
"162","AIDA171",FALSE,0.536731612325746,1713,816,897,FALSE
"163","AIDA172",FALSE,0.481166037267164,683,242,441,FALSE
"164","AIDA173",FALSE,0.432794878590857,1967,810,1157,FALSE
"165","AIDA174",FALSE,0.489039636730942,1786,675,1111,FALSE
"166","AIDA175",TRUE,0.692319099162414,1621,1235,386,TRUE
"167","AIDA176",FALSE,0.522975991537556,1233,703,530,FALSE
"168","AIDA177",FALSE,0.368976081317805,2540,1685,855,TRUE
"169","AIDA178",FALSE,0.515924457877415,2199,890,1309,FALSE
"170","AIDA179",FALSE,0.583623054438692,1056,680,376,FALSE
"171","AIDA180",FALSE,0.621707409543353,2287,1254,1033,TRUE
"172","AIDA181",FALSE,0.584546581326222,2027,1163,864,FALSE
"173","AIDA182",TRUE,0.264987892005949,1930,1584,346,TRUE
"174","AIDA183",TRUE,0.764060601478005,386,319,67,TRUE
"175","AIDA184",FALSE,0.536812632393388,2153,1382,771,FALSE
"176","AIDA185",TRUE,0.84723213619782,2182,1788,394,TRUE
"177","AIDA186",TRUE,0.673931163409225,2506,883,1623,TRUE
"178","AIDA187",FALSE,0.282801091849492,1782,1508,274,TRUE
"179","AIDA188",FALSE,0.691875853462186,543,455,88,TRUE
"180","AIDA189",TRUE,0.17136240554064,1095,855,240,TRUE
"181","AIDA190",FALSE,0.524481689238434,1584,685,899,FALSE
"182","AIDA191",FALSE,0.360084826448811,1910,1233,677,TRUE
"183","AIDA192",FALSE,0.29525316386548,1881,1606,275,TRUE
"184","AIDA193",FALSE,0.639429831418446,1063,620,443,TRUE
"185","AIDA194",FALSE,0.428304628383161,1031,655,376,FALSE
"186","AIDA195",FALSE,0.508376735902303,1320,819,501,FALSE
"187","AIDA196",FALSE,0.593452275724299,2630,1809,821,FALSE
"188","AIDA197",TRUE,0.323107474096119,2213,1232,981,TRUE
"189","AIDA198",FALSE,0.585457581622977,121,57,64,FALSE
"190","AIDA199",FALSE,0.781243904521155,2167,1876,291,TRUE
